City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,whitehorse,60.7161,-135.0538,-2.43,71,83,1.89,CA,2023-04-05 09:00:00
252,denpasar,-8.65,115.2167,29.0,80,57,1.13,ID,2023-04-05 09:00:00
253,liwale,-9.7667,37.9333,25.09,93,96,2.61,TZ,2023-04-05 09:00:00
254,texarkana,33.4251,-94.0477,23.87,81,83,7.46,US,2023-04-05 09:00:00
255,zabid,14.1951,43.3152,34.3,54,72,4.59,YE,2023-04-05 09:00:00
256,kajaani,64.2273,27.7285,0.79,72,30,0.69,FI,2023-04-05 09:00:00
257,karratha,-20.7377,116.8463,31.54,52,91,6.61,AU,2023-04-05 09:00:00
258,caravelas,-17.7125,-39.2481,23.46,89,89,1.36,BR,2023-04-05 09:00:00
259,san quintin,30.4833,-115.95,11.51,64,24,2.9,MX,2023-04-05 09:00:00
260,dawson creek,55.7666,-120.2362,-1.8,77,23,3.04,CA,2023-04-05 09:00:00
261,goderich,43.7501,-81.7165,8.17,75,100,12.9,CA,2023-04-05 09:00:00
262,mecca,21.4267,39.8261,31.97,33,48,2.5,SA,2023-04-05 09:00:00
263,rachitova,45.6,22.75,2.45,95,100,0.96,RO,2023-04-05 09:00:00
264,mont-de-marsan,44.0,-0.6667,11.73,76,54,0.63,FR,2023-04-05 09:00:00
265,olafsvik,64.8945,-23.7142,3.36,97,100,7.68,IS,2023-04-05 09:00:00
266,rawson,-43.3002,-65.1023,18.11,43,88,12.14,AR,2023-04-05 09:00:00
267,cabo san lucas,22.8909,-109.9124,19.48,73,0,3.27,MX,2023-04-05 09:00:00
268,bend,44.0582,-121.3153,-2.91,84,64,3.13,US,2023-04-05 09:00:00
269,ishigaki,24.3448,124.1572,25.86,66,54,7.48,JP,2023-04-05 09:00:00
270,santa isabel do rio negro,-0.4139,-65.0192,22.26,97,96,0.18,BR,2023-04-05 09:00:00
271,rio brilhante,-21.8019,-54.5464,20.34,89,38,1.5,BR,2023-04-05 09:00:00
272,mongoumba,3.6415,18.5936,35.45,65,100,1.09,CF,2023-04-05 09:00:00
273,yakima,46.4665,-120.6678,1.66,64,0,2.3,US,2023-04-05 09:00:00
274,mount isa,-20.7333,139.5,33.53,15,10,4.08,AU,2023-04-05 09:00:00
275,lagoa,39.05,-27.9833,14.62,83,97,3.8,PT,2023-04-05 09:00:00
276,deputatskiy,69.3,139.9,-13.43,93,100,0.81,RU,2023-04-05 09:00:00
277,north platte,41.1239,-100.7654,-4.12,74,59,8.5,US,2023-04-05 09:00:00
278,hobyo,5.3505,48.5268,30.57,65,28,6.71,SO,2023-04-05 09:00:00
279,mount gambier,-37.8333,140.7667,18.48,62,42,3.4,AU,2023-04-05 09:00:00
280,guadalupe y calvo,26.1,-106.9667,2.73,33,0,2.59,MX,2023-04-05 09:00:00
281,kavaratti,10.5669,72.642,27.72,72,14,3.77,IN,2023-04-05 09:00:00
282,menongue,-14.6585,17.691,24.97,73,100,4.66,AO,2023-04-05 09:00:00
283,lahij,13.1667,44.5833,29.44,62,70,5.05,YE,2023-04-05 09:00:00
284,tuy hoa,13.0833,109.3,31.12,64,66,6.65,VN,2023-04-05 09:00:00
285,sao joao da barra,-21.6403,-41.0511,19.91,96,2,1.37,BR,2023-04-05 09:00:00
286,coihaique,-45.5752,-72.0662,10.46,95,100,1.47,CL,2023-04-05 09:00:00
287,lata,40.1629,-8.3327,13.23,46,16,3.41,PT,2023-04-05 09:00:00
288,hunucma,21.0167,-89.8667,24.89,77,55,4.38,MX,2023-04-05 09:00:00
289,mackay,-21.15,149.2,28.49,72,4,2.32,AU,2023-04-05 09:00:00
290,neiafu,-18.65,-173.9833,27.09,85,58,8.32,TO,2023-04-05 09:00:00
291,shubarshi,48.5872,57.1869,17.23,34,4,5.51,KZ,2023-04-05 09:00:00
292,muyezerskiy,63.9333,31.65,0.26,88,68,1.06,RU,2023-04-05 09:00:00
293,sampit,-2.5333,112.95,31.5,59,100,2.0,ID,2023-04-05 09:00:00
294,beisfjord,68.3751,17.5988,3.58,81,100,1.57,NO,2023-04-05 09:00:00
295,quelimane,-17.8786,36.8883,28.61,72,31,2.85,MZ,2023-04-05 09:00:00
296,puerto ayacucho,5.6639,-67.6236,26.0,72,71,0.78,VE,2023-04-05 09:00:00
297,valenca do piaui,-6.4075,-41.7456,20.33,86,99,1.11,BR,2023-04-05 09:00:00
